Vernier Format 2
Untitled.sbl	16:33  Monday, March 25, 2019
Latest
Time	Transmittance	Absorbance
Time	%Trans	Abs
min	%	

21.633335114	19.856376648	0.702099979
21.666667938	21.130023956	0.675100029
21.700000763	22.443988800	0.648899972
21.733333588	24.609340668	0.608900011
21.766668320	26.485000610	0.577000022
21.800001144	27.848384857	0.555199981
21.833333969	29.552892685	0.529399991
21.866668701	31.448505402	0.502399981
21.900001526	33.258296967	0.478100002
21.933334351	35.220863342	0.453200012
21.966667175	36.787475586	0.434300005
22.000001907	38.203224182	0.417899996
22.033334732	41.039306641	0.386799991
22.066667557	42.510871887	0.371499985
22.100000381	43.281269073	0.363700002
22.133335114	45.750938416	0.339599997
22.166667938	46.848964691	0.329300016
22.200000763	49.068187714	0.309199989
22.233333588	49.659233093	0.303999990
22.266668320	51.820308685	0.285499990
22.300001144	53.988346100	0.267699987
22.333333969	54.726795197	0.261799991
22.366668701	55.795604706	0.253399998
22.400001526	58.196918488	0.235100016
22.433334351	58.925056458	0.229699999
22.466667175	60.006736755	0.221799985
22.500001907	62.258693695	0.205799997
22.533334732	63.095733643	0.200000003
22.566667557	63.929309845	0.194299981
22.600000381	65.811225891	0.181700021
22.633335114	66.466072083	0.177399993
22.666667938	67.406227112	0.171299979
22.700000763	69.167167664	0.160100013
22.733333588	70.097091675	0.154300004
22.766668320	70.664291382	0.150799990
22.800001144	71.812492371	0.143800005
22.833333969	73.012969971	0.136599988
22.866668701	73.773437500	0.132099986
22.900001526	74.131027222	0.129999980
22.933334351	75.370254517	0.122800015
22.966667175	76.050140381	0.118899979
23.000001907	76.401168823	0.116899997
23.033334732	77.428352356	0.111099981
23.066667557	78.072845459	0.107499994
23.100000381	78.397102356	0.105699986
23.133335114	79.231887817	0.101099998
23.166667938	80.001846313	0.096899994
23.200000763	80.315612793	0.095200025
23.233335495	80.797882080	0.092600025
23.266668320	81.601852417	0.088299982
23.300001144	82.054046631	0.085899994
23.333333969	82.356903076	0.084299996
23.366668701	82.775154114	0.082100004
23.400001526	83.368118286	0.079000004
23.433334351	83.675827026	0.077399984
23.466667175	84.139511108	0.075000018
23.500001907	84.508422852	0.073100001
23.533334732	84.742248535	0.071900018
23.566667557	84.957160950	0.070800006
23.600000381	85.408287048	0.068499990
23.633335114	85.723518372	0.066900015
23.666667938	86.020111084	0.065400004
23.700000763	86.437065125	0.063299991
23.733335495	86.956092834	0.060699981
23.766668320	87.256942749	0.059200007
23.800001144	87.639518738	0.057300016
23.833333969	88.044044495	0.055300016
23.866668701	88.307991028	0.053999994
23.900001526	88.552330017	0.052800007
23.933334351	88.838249207	0.051400010
23.966667175	89.043045044	0.050399996
24.000001907	89.166145325	0.049800009
24.033334732	89.351119995	0.048900001
24.066667557	89.515861511	0.048100006
24.100000381	89.598350525	0.047699984
24.133335114	89.722221375	0.047099981
24.166667938	89.846260071	0.046499997
24.200000763	89.866950989	0.046399992
24.233335495	89.908348083	0.046199981
24.266668320	89.991188049	0.045800015
24.300001144	90.011917114	0.045699988
24.333333969	90.053375244	0.045500007
24.366668701	90.177879333	0.044899981
24.400001526	90.302543640	0.044300016
24.433334351	90.489875793	0.043400008
24.466667175	90.782051086	0.042000011
24.500001907	91.054206848	0.040699985
24.533334732	91.306144714	0.039499994
24.566667557	91.664253235	0.037799995
24.600000381	92.023765564	0.036100000
24.633335114	92.299636841	0.034800008
24.666667938	92.576339722	0.033499993
24.700000763	93.046493530	0.031299990
24.733335495	93.282463074	0.030199995
24.766668320	93.562110901	0.028899988
24.800001144	93.864204407	0.027499996
24.833333969	94.037269592	0.026699990
24.866668701	94.232345581	0.025799999
24.900001526	94.558372498	0.024300011
24.933334351	94.754531860	0.023400011
24.966667175	94.885536194	0.022799984
25.000001907	95.082366943	0.021900015
25.033334732	95.279617310	0.020999996
25.066667557	95.389373779	0.020500002
25.100000381	95.587257385	0.019599998
25.133335114	95.719406128	0.019000005
25.166667938	95.829673767	0.018499991
25.200000763	95.917976379	0.018099992
25.233335495	96.094825745	0.017299997
25.266668320	96.183372498	0.016899999
25.300001144	96.249839783	0.016599985
25.333333969	96.405097961	0.015899999
25.366668701	96.493934631	0.015499985
25.400001526	96.538375854	0.015300012
25.433334351	96.627334595	0.014900000
25.466667175	96.716369629	0.014500014
25.500001907	96.783203125	0.014200008
25.533334732	96.850082397	0.013900005
25.566667557	96.939323425	0.013500015
25.600002289	96.983978271	0.013300005
25.633335114	97.050994873	0.013000009
25.666667938	97.118057251	0.012700014
25.700000763	97.162796021	0.012499996
25.733335495	97.185173035	0.012399987
25.766668320	97.229934692	0.012200006
25.800001144	97.297126770	0.011899984
25.833333969	97.341941833	0.011699994
25.866668701	97.409202576	0.011400012
25.900001526	97.454071045	0.011200014
25.933334351	97.476516724	0.011099999
25.966667175	97.543876648	0.010799988
26.000001907	97.611274719	0.010500016
26.033334732	97.633758545	0.010399992
26.066667557	97.678726196	0.010200012
26.100002289	97.746223450	0.009900013
26.133335114	97.791252136	0.009699993
26.166667938	97.813774109	0.009599984
26.200000763	97.858825684	0.009400000
26.233335495	97.881362915	0.009299992
26.266668320	97.903900146	0.009200007
26.300001144	97.926445007	0.009100012
26.333333969	97.971557617	0.008899987
26.366668701	97.971557617	0.008899987
26.400001526	98.016685486	0.008699988
26.433334351	98.039253235	0.008600006
26.466667175	98.061828613	0.008500013
26.500001907	98.084411621	0.008400009
26.533334732	98.107002258	0.008299994
26.566667557	98.129592896	0.008200003
26.600002289	98.129592896	0.008200003
26.633335114	98.152191162	0.008100001
26.666667938	98.174797058	0.007999988
26.700000763	98.174797058	0.007999988
26.733335495	98.197402954	0.007899998
26.766668320	98.220016479	0.007799997
26.800001144	98.242637634	0.007699986
26.833333969	98.265258789	0.007599998
26.866668701	98.287887573	0.007499999
26.900001526	98.287887573	0.007499999
26.933334351	98.310523987	0.007399989
26.966667175	98.310523987	0.007399989
27.000001907	98.333160400	0.007300003
27.033334732	98.355804443	0.007200005
27.066667557	98.378456116	0.007099997
27.100002289	98.401107788	0.007000012
27.133335114	98.401107788	0.007000012
27.166667938	98.446434021	0.006800010
27.200000763	98.469108582	0.006699994
27.233335495	98.469108582	0.006699994
27.266668320	98.491783142	0.006600000
27.300001144	98.537147522	0.006400014
27.333333969	98.559844971	0.006299988
27.366668701	98.537147522	0.006400014
27.400001526	98.559844971	0.006299988
27.433334351	98.605239868	0.006100006
27.466667175	98.627944946	0.006000016
27.500001907	98.627944946	0.006000016
27.533334732	98.673377991	0.005800004
27.566667557	98.673377991	0.005800004
27.600002289	98.696098328	0.005700015
27.633335114	98.696098328	0.005700015
27.666667938	98.718833923	0.005599983
27.700000763	98.718833923	0.005599983
27.733335495	98.764305115	0.005399988
27.766668320	98.764305115	0.005399988
27.800001144	98.787048340	0.005299991
27.833333969	98.809799194	0.005199983
27.866668701	98.809799194	0.005199983
27.900001526	98.832550049	0.005099999
27.933334351	98.855308533	0.005000004
27.966667175	98.878074646	0.004899999
28.000001907	98.878074646	0.004899999
28.033334732	98.900840759	0.004800017
28.066667557	98.923622131	0.004699990
28.100002289	98.923622131	0.004699990
28.133335114	98.946403503	0.004599987
28.166667938	98.946403503	0.004599987
28.200000763	98.969184875	0.004500007
28.233335495	99.014770508	0.004300015
28.266668320	99.037574768	0.004200003
28.300001144	99.037574768	0.004200003
28.333333969	99.037574768	0.004200003
28.366668701	99.037574768	0.004200003
28.400001526	99.060379028	0.004100014
28.433334351	99.083190918	0.004000016
28.466669083	99.106010437	0.003900006
28.500001907	99.128837585	0.003799987
28.533334732	99.128837585	0.003799987
28.566667557	99.128837585	0.003799987
28.600002289	99.151664734	0.003699990
28.633335114	99.151664734	0.003699990
28.666667938	99.151664734	0.003699990
28.700000763	99.174491882	0.003600016
28.733335495	99.174491882	0.003600016
28.766668320	99.174491882	0.003600016
28.800001144	99.197334290	0.003499998
28.833333969	99.197334290	0.003499998
28.866668701	99.197334290	0.003499998
28.900001526	99.220176697	0.003400004
28.933334351	99.220176697	0.003400004
28.966669083	99.220176697	0.003400004
29.000001907	99.220176697	0.003400004
29.033334732	99.243026733	0.003299999
29.066667557	99.243026733	0.003299999
29.100002289	99.265884399	0.003199984
29.133335114	99.288742065	0.003099991
29.166667938	99.288742065	0.003099991
29.200000763	99.288742065	0.003099991
29.233335495	99.288742065	0.003099991
29.266668320	99.311607361	0.002999989
29.300001144	99.311607361	0.002999989
29.333333969	99.311607361	0.002999989
29.366668701	99.334472656	0.002900010
29.400001526	99.334472656	0.002900010
29.433334351	99.357353210	0.002799986
29.466669083	99.380233765	0.002699986
29.500001907	99.380233765	0.002699986
29.533334732	99.403114319	0.002600009
29.566667557	99.380233765	0.002699986
29.600002289	99.403114319	0.002600009
29.633335114	99.403114319	0.002600009
29.666667938	99.403114319	0.002600009
29.700000763	99.426010132	0.002499988
29.733335495	99.448905945	0.002399990
29.766668320	99.448905945	0.002399990
29.800001144	99.448905945	0.002399990
29.833333969	99.448905945	0.002399990
29.866668701	99.448905945	0.002399990
29.900001526	99.448905945	0.002399990
29.933334351	99.448905945	0.002399990
29.966669083	99.448905945	0.002399990
30.000001907	99.448905945	0.002399990
30.033334732	99.448905945	0.002399990
30.066667557	99.448905945	0.002399990
30.100002289	99.448905945	0.002399990
30.133335114	99.448905945	0.002399990
30.166667938	99.448905945	0.002399990
30.200000763	99.426010132	0.002499988
30.233335495	99.448905945	0.002399990
30.266668320	99.448905945	0.002399990
30.300001144	99.426010132	0.002499988
30.333333969	99.426010132	0.002499988
30.366668701	99.426010132	0.002499988
30.400001526	99.426010132	0.002499988
30.433334351	99.448905945	0.002399990
30.466669083	99.448905945	0.002399990
30.500001907	99.448905945	0.002399990
30.533334732	99.426010132	0.002499988
30.566667557	99.448905945	0.002399990
30.600002289	99.448905945	0.002399990
30.633335114	99.448905945	0.002399990
30.666667938	99.448905945	0.002399990
30.700000763	99.448905945	0.002399990
30.733335495	99.448905945	0.002399990
30.766668320	99.448905945	0.002399990
30.800001144	99.448905945	0.002399990
30.833335876	99.448905945	0.002399990
30.866668701	99.448905945	0.002399990
30.900001526	99.448905945	0.002399990
30.933334351	99.448905945	0.002399990
30.966669083	99.448905945	0.002399990
31.000001907	99.448905945	0.002399990
31.033334732	99.426010132	0.002499988
31.066667557	99.426010132	0.002499988
31.100002289	99.448905945	0.002399990
31.133335114	99.448905945	0.002399990
31.166667938	99.448905945	0.002399990
31.200000763	99.448905945	0.002399990
31.233335495	99.448905945	0.002399990
31.266668320	99.265884399	0.003199984
31.300001144	98.718833923	0.005599983
31.333335876	96.627334595	0.014900000
31.366668701	94.123916626	0.026300009
31.400001526	91.180084229	0.040100012
31.433334351	87.196693420	0.059499983
31.466669083	83.502601624	0.078299992
31.500001907	80.445175171	0.094499998
31.533334732	78.252822876	0.106499985
31.566667557	75.457084656	0.122299977
31.600002289	73.790420532	0.132000014
31.633335114	72.044364929	0.142399982
31.666667938	70.064819336	0.154499993
31.700000763	68.801834106	0.162399977
31.733335495	67.655014038	0.169700012
31.766668320	66.404884338	0.177799970
31.800001144	65.826385498	0.181599990
31.833335876	65.373237610	0.184600011
31.866668701	65.027938843	0.186900005
31.900001526	64.788810730	0.188499987
31.933334351	64.788810730	0.188499987
31.966669083	64.908264160	0.187700003
32.000000000	65.132835388	0.186200023
32.033336639	65.433479309	0.184199989
32.066669464	65.750640869	0.182100013
32.100002289	66.374305725	0.178000003
32.133335114	66.803619385	0.175200000
32.166667938	67.313163757	0.171900004
32.200000763	68.076934814	0.167000011
32.233333588	68.501487732	0.164299995
32.266670227	68.801834106	0.162399977
32.300003052	69.454437256	0.158299997
32.333335876	69.887580872	0.155599996
32.366668701	70.258682251	0.153300002
32.400001526	70.957778931	0.148999989
32.433334351	71.499008179	0.145699978
32.466667175	72.027778625	0.142499983
32.500000000	72.476966858	0.139799997
32.533336639	73.113906860	0.136000007
32.566669464	73.434478760	0.134099990
32.600002289	73.841415405	0.131699994
32.633335114	74.336135864	0.128800020
32.666667938	74.816947937	0.126000017
32.700000763	75.127685547	0.124199994
32.733333588	75.718147278	0.120800018
32.766670227	76.172813416	0.118200004
32.800003052	76.489181519	0.116399989
32.833335876	76.983917236	0.113599993
32.866668701	77.374885559	0.111399978
32.900001526	77.642585754	0.109900013
32.933334351	78.072845459	0.107499994
32.966667175	78.451271057	0.105400018
33.000000000	78.704582214	0.103999980
33.033336639	79.067863464	0.101999998
33.066669464	79.506019592	0.099599987
33.100002289	79.726005554	0.098399997
33.133335114	80.001846313	0.096899994
33.166667938	80.389625549	0.094799995
33.200000763	80.649185181	0.093400016
33.233333588	80.853721619	0.092299983
33.266670227	81.152145386	0.090699993
33.300003052	81.507957458	0.088799991
33.333335876	81.714660645	0.087700017
33.366668701	81.903038025	0.086699985
33.400001526	82.243202209	0.084899992
33.433334351	82.527748108	0.083400004
33.466667175	82.717994690	0.082400002
33.500000000	83.080673218	0.080499992
33.533336639	83.272193909	0.079499990
33.566669464	83.444938660	0.078599997
33.600002289	83.714363098	0.077200025
33.633335114	83.984664917	0.075800009
33.666667938	84.158889771	0.074900001
33.700000763	84.450065613	0.073400006
33.733333588	84.703239441	0.072099976
33.766670227	84.859405518	0.071300015
33.800003052	85.035446167	0.070400007
33.833335876	85.329658508	0.068899989
33.866668701	85.467300415	0.068200015
33.900001526	85.624885559	0.067399994
33.933334351	85.861801147	0.066200003
33.966667175	86.079551697	0.065100007
34.000000000	86.198554993	0.064500012
34.033336639	86.377372742	0.063600011
34.066669464	86.556564331	0.062699988
34.100002289	86.696189880	0.061999988
34.133335114	86.876037598	0.061099995
34.166667938	87.036216736	0.060299996
34.200000763	87.156539917	0.059700020
34.233333588	87.256942749	0.059200007
34.266670227	87.478233337	0.058099996
34.300003052	87.599174500	0.057499986
34.333335876	87.679893494	0.057099987
34.366668701	87.861778259	0.056200013
34.400001526	87.962989807	0.055700019
34.433334351	88.064323425	0.055199996
34.466667175	88.165771484	0.054699987
34.500000000	88.328323364	0.053900015
34.533336639	88.430076599	0.053399999
34.566669464	88.531944275	0.052899998
34.600002289	88.695175171	0.052100003
34.633335114	88.776901245	0.051700018
34.666667938	88.858711243	0.051299989
34.700000763	88.981559753	0.050699987
34.733333588	89.043045044	0.050399996
34.766670227	89.104576111	0.050099991
34.800003052	89.248306274	0.049400017
34.833335876	89.309982300	0.049099997
34.866668701	89.371696472	0.048799999
34.900001526	89.495254517	0.048199993
34.933334351	89.577720642	0.047799993
34.966667175	89.639617920	0.047500003
35.000000000	89.722221375	0.047099981
35.033336639	89.804893494	0.046699997
35.066669464	89.887641907	0.046300013
35.100002289	89.949760437	0.045999989
35.133335114	90.032646179	0.045599986
35.166667938	90.094856262	0.045300003
35.200000763	90.136360168	0.045099985
35.233333588	90.198638916	0.044800017
35.266670227	90.302543640	0.044300016
35.300003052	90.364944458	0.044000015
35.333335876	90.427391052	0.043699998
35.366668701	90.531555176	0.043200020
35.400001526	90.573257446	0.043000013
35.433334351	90.635848999	0.042699993
35.466667175	90.740257263	0.042199995
35.500000000	90.823867798	0.041800007
35.533336639	90.865707397	0.041599989
35.566669464	90.949432373	0.041200008
35.600002289	91.012283325	0.040899988
35.633335114	91.075172424	0.040599998
35.666667938	91.138107300	0.040299993
35.700000763	91.201080322	0.040000018
35.733333588	91.243095398	0.039799988
35.766670227	91.306144714	0.039499994
35.800003052	91.348197937	0.039300017
35.833335876	91.390281677	0.039099984
35.866668701	91.432373047	0.038900007
35.900001526	91.516624451	0.038500007
35.933334351	91.558776855	0.038300019
35.966667175	91.600952148	0.038100012
36.000000000	91.664253235	0.037799995
36.033336639	91.706474304	0.037600003
36.066669464	91.748718262	0.037399992
36.100002289	91.790977478	0.037200004
36.133335114	91.854408264	0.036899995
36.166667938	91.896720886	0.036699984
36.200000763	91.939048767	0.036499996
36.233333588	92.002578735	0.036199998
36.266670227	92.044960022	0.035999987
36.300003052	92.087356567	0.035799995
36.333335876	92.129776001	0.035599984
36.366668701	92.172210693	0.035399996
36.400001526	92.214668274	0.035199992
36.433334351	92.257141113	0.035000008
36.466667175	92.320892334	0.034700006
36.500000000	92.363418579	0.034500003
36.533336639	92.405960083	0.034300018
36.566669464	92.448524475	0.034100015
36.600002289	92.491111755	0.033900000
36.633335114	92.512413025	0.033799991
36.666667938	92.555023193	0.033600006
36.700000763	92.597656250	0.033400007
36.733333588	92.640312195	0.033199988
36.766670227	92.704322815	0.032900013
36.800003052	92.725677490	0.032799985
36.833335876	92.747024536	0.032700013
36.866668701	92.789749146	0.032499999
36.900001526	92.832489014	0.032300007
36.933334351	92.853866577	0.032200009
36.966667175	92.896636963	0.032000009
37.000003815	92.960830688	0.031700004
37.033336639	92.982238770	0.031600002
37.066669464	93.025070190	0.031399995
37.100002289	93.067916870	0.031200007
37.133335114	93.110786438	0.031000005
37.166667938	93.132232666	0.030899985
37.200000763	93.153678894	0.030799989
37.233333588	93.196586609	0.030599995
37.266670227	93.218048096	0.030499995
37.300003052	93.239517212	0.030399984
37.333335876	93.282463074	0.030199995
37.366668701	93.303947449	0.030099982
37.400001526	93.325431824	0.029999992
37.433334351	93.368415833	0.029800009
37.466667175	93.411422729	0.029600013
37.500003815	93.432937622	0.029499996
37.533336639	93.475975037	0.029299997
37.566669464	93.497497559	0.029200012
37.600002289	93.540565491	0.029000008
37.633335114	93.583656311	0.028799990
37.666667938	93.605201721	0.028700016
37.700000763	93.626762390	0.028599994
37.733333588	93.669891357	0.028399983
37.766670227	93.691459656	0.028299995
37.800003052	93.713035583	0.028199995
37.833335876	93.713035583	0.028199995
37.866668701	93.777793884	0.027899988
37.900001526	93.777793884	0.027899988
37.933334351	93.799385071	0.027800009
37.966667175	93.842590332	0.027600013
38.000003815	93.885818481	0.027400004
38.033336639	93.929061890	0.027200015
38.066669464	93.950698853	0.027099986
38.100002289	93.972328186	0.027000014
38.133335114	93.993972778	0.026899993
38.166667938	94.015617371	0.026799997
38.200000763	94.058921814	0.026600003
38.233333588	94.080581665	0.026500005
38.266670227	94.123916626	0.026300009
38.300003052	94.145591736	0.026200011
38.333335876	94.167274475	0.026099999
38.366668701	94.188957214	0.026000012
38.400001526	94.232345581	0.025799999
38.433334351	94.232345581	0.025799999
38.466667175	94.254043579	0.025700008
38.500003815	94.275749207	0.025600007
38.533336639	94.297462463	0.025499994
38.566669464	94.340896606	0.025300000
38.600002289	94.362625122	0.025199985
38.633335114	94.384353638	0.025099995
38.666667938	94.406089783	0.024999989
38.700000763	94.427825928	0.024900010
38.733333588	94.471321106	0.024700012
38.766670227	94.493080139	0.024599994
38.800003052	94.493080139	0.024599994
38.833335876	94.514839172	0.024500001
38.866668701	94.536605835	0.024399994
38.900001526	94.558372498	0.024300011
38.933334351	94.580146790	0.024200017
38.966667175	94.623718262	0.023999991
39.000003815	94.667304993	0.023799986
39.033336639	94.645507813	0.023899995
39.066669464	94.689102173	0.023700001
39.100002289	94.689102173	0.023700001
39.133335114	94.732719421	0.023499995
39.166667938	94.776351929	0.023300013
39.200000763	94.776351929	0.023300013
39.233333588	94.798179626	0.023200002
39.266670227	94.820007324	0.023100015
39.300003052	94.841842651	0.023000017
39.333335876	94.863685608	0.022900006
39.366668701	94.885536194	0.022799984
39.400001526	94.885536194	0.022799984
39.433334351	94.907386780	0.022699984
39.466667175	94.929237366	0.022600008
39.500003815	94.951103210	0.022499984
39.533336639	94.951103210	0.022499984
39.566669464	94.972969055	0.022399984
39.600002289	94.972969055	0.022399984
39.633335114	94.994834900	0.022300007
39.666667938	94.994834900	0.022300007
39.700000763	95.016716003	0.022199985
39.733333588	95.038597107	0.022099983
39.766670227	95.060478210	0.022000005
39.800003052	95.082366943	0.021900015
39.833335876	95.082366943	0.021900015
39.866668701	95.104263306	0.021800015
39.900001526	95.104263306	0.021800015
39.933334351	95.148071289	0.021600010
39.966667175	95.148071289	0.021600010
40.000003815	95.169982910	0.021500008
40.033336639	95.191902161	0.021399995
40.066669464	95.235748291	0.021200001
40.100002289	95.235748291	0.021200001
40.133335114	95.257682800	0.021099987
40.166667938	95.279617310	0.020999996
40.200000763	95.279617310	0.020999996
40.233333588	95.279617310	0.020999996
40.266670227	95.323501587	0.020800013
40.300003052	95.323501587	0.020800013
40.333335876	95.345458984	0.020699987
40.366668701	95.367408752	0.020600017
40.400001526	95.367408752	0.020600017
40.433334351	95.389373779	0.020500002
40.466667175	95.411338806	0.020400010
40.500003815	95.433311462	0.020300006
40.533336639	95.455291748	0.020199990
40.566669464	95.499259949	0.019999994
40.600002289	95.499259949	0.019999994
40.633335114	95.521247864	0.019900013
40.666667938	95.543251038	0.019799985
40.700000763	95.565246582	0.019700015
40.733333588	95.587257385	0.019599998
40.766670227	95.587257385	0.019599998
40.800003052	95.609268188	0.019500006
40.833335876	95.631286621	0.019400001
40.866668701	95.631286621	0.019400001
40.900001526	95.653312683	0.019299984
40.933334351	95.653312683	0.019299984
40.966667175	95.675338745	0.019199992
41.000003815	95.675338745	0.019199992
41.033336639	95.697372437	0.019099986
41.066669464	95.719406128	0.019000005
41.100002289	95.719406128	0.019000005
41.133335114	95.741447449	0.018900011
41.166667938	95.763496399	0.018800005
41.200000763	95.763496399	0.018800005
41.233333588	95.763496399	0.018800005
41.266670227	95.785552979	0.018699989
41.300003052	95.807609558	0.018599996
41.333335876	95.829673767	0.018499991
41.366668701	95.829673767	0.018499991
41.400001526	95.851737976	0.018400008
41.433334351	95.851737976	0.018400008
41.466667175	95.873809814	0.018300014
41.500003815	95.895889282	0.018200008
41.533336639	95.917976379	0.018099992
41.566669464	95.940063477	0.017999999
41.600002289	95.962158203	0.017899994
41.633335114	95.940063477	0.017999999
41.666667938	95.962158203	0.017899994
41.700000763	95.962158203	0.017899994
41.733337402	95.984252930	0.017800011
41.766670227	95.984252930	0.017800011
41.800003052	96.006362915	0.017699983
41.833335876	96.028465271	0.017600011
41.866668701	96.028465271	0.017600011
41.900001526	96.050582886	0.017499994
41.933334351	96.050582886	0.017499994
41.966667175	96.050582886	0.017499994
42.000003815	96.094825745	0.017299997
42.033336639	96.094825745	0.017299997
